DistributedCue_Left,DistributedCue_Right,FocalCue_Left,FocalCue_Right
1.04335409535039,0.321249578331514,0.945666293087875,1.38419574221776
0.933140581842237,1.41341020189393,0.960817629488647,1.38403174718524
0.706109656468792,0.638691585657251,1.24921623902639,1.30349718524278
0.983264283654129,0.651281428976811,0.798327588454873,1.54465115845149
1.22320256651138,0.917292320165133,1.18009882209156,1.15225767333121
1.008386233186,1.91735973116914,0.950826767451194,0.642757539772617
0.981921426935745,1.49608680878714,1.65431674331595,2.08440679469359
0.90682649847162,0.710822952825045,0.908182281699121,0.870307800204338
0.921362966273712,1.09156842577399,0.986237243176097,0.882398546338435
1.08583418705347,1.38226738625382,1.49358192598541,1.35956381810259
1.025903037184,1.34737616991838,1.17276302639249,1.58768820162652
1.18329866747884,1.56150847388273,1.62898418774965,2.99164592015975
1.40535385153736,1.31766851124347,1.5253978700339,1.34344708309976
2.58901513750957,3.57804610014386,1.40787656582792,1.4694068945769
0.917838188603927,0.918569501461769,1.02680048962357,1.54671623934655
