subject,voxelIndex,region,hemisphere,X,Y,Z,resp_wordL,resp_wordR,resp_scramL,resp_scramR,xvalRSqr_locz,xvalRSqr_main,snrAfter_locz,snrAfter_main,resp_distrib_leftLow_rightLow,resp_distrib_leftLow_rightHigh,resp_distrib_leftHigh_rightLow,resp_distrib_leftHigh_rightHigh,resp_focalLeft_leftLow_rightLow,resp_focalLeft_leftLow_rightHigh,resp_focalLeft_leftHigh_rightLow,resp_focalLeft_leftHigh_rightHigh,resp_focalRight_leftLow_rightLow,resp_focalRight_leftLow_rightHigh,resp_focalRight_leftHigh_rightLow,resp_focalRight_leftHigh_rightHigh
1,320869,V1,Left,68,43,47,-0.3010047,0.06465797,-0.269863,0.1262209,5.679059,10.94503,3.940568,4.89865,-0.09501835,-0.2852059,-0.2076671,-0.2322236,-0.3581081,-0.3000068,-0.3274083,-0.326662,-0.2464485,-0.1762297,-0.3260717,-0.2326025
1,320870,V1,Left,68,43,48,-0.4738448,-0.04774157,-0.4709298,0.1870657,5.339426,10.89023,3.050159,4.683666,-0.1858672,-0.4327074,-0.3647543,-0.4458829,-0.5435641,-0.5558841,-0.5001329,-0.5053757,-0.3740704,-0.2932786,-0.5268703,-0.30168
1,320953,V1,Left,68,44,46,-0.3006027,0.03404816,-0.2416785,0.1989036,7.967913,12.85714,4.719779,5.64018,-0.06711207,-0.3453381,-0.221502,-0.240676,-0.328714,-0.4320129,-0.2985266,-0.3530596,-0.1921065,-0.213055,-0.4254216,-0.3167219
1,320954,V1,Left,68,44,47,-0.4565759,-0.2357618,-0.4076396,-0.01614593,4.544097,12.96851,4.397834,5.870051,-0.2095122,-0.485889,-0.3843773,-0.4239122,-0.359639,-0.6271948,-0.409445,-0.5073525,-0.2716401,-0.2556883,-0.5339975,-0.3511023
1,321117,V1,Left,68,44,48,-0.05852805,0.2539186,-0.05713068,0.2144364,7.79804,0.7261276,2.664103,2.748567,-0.0442961,-0.08419382,0.07163786,-0.04249403,-0.1122679,-0.1153435,-0.05814199,-0.09524676,-0.03077623,0.00558967,-0.1296279,-0.0408016
1,321118,V1,Left,68,45,47,-0.08811877,0.1625857,-0.05607237,0.2379175,5.672449,2.250111,3.081916,4.033469,-0.07014489,-0.08688746,0.0590613,-0.1120923,-0.0894435,-0.1786638,-0.03186366,-0.1524263,-0.08886743,-0.01693069,-0.1414382,-0.05107499
1,321119,V1,Left,68,45,48,-0.1055244,-0.03996351,-0.0473699,0.1072658,1.579744,6.053483,1.519079,6.466167,-0.03993447,-0.1285367,-0.0233372,-0.1420349,-0.1465074,-0.2725157,-0.1100496,-0.2552066,-0.1582823,-0.04065858,-0.2274992,-0.1784297
1,321120,V1,Left,69,41,48,-0.1132602,-0.2655453,-0.1266389,-0.09275795,2.332902,6.502712,4.035176,5.474365,-0.03471468,-0.2236197,-0.1078937,-0.17519,-0.2463603,-0.3020785,-0.2052781,-0.3155362,-0.1231807,-0.01840513,-0.2949837,-0.2367754
1,321200,V1,Left,69,42,47,0.006825426,0.02934939,-0.0273905,0.05587938,-0.8278966,-0.4515648,1.135092,2.861007,0.006719939,-0.04358121,-0.02937613,-0.002979678,-0.05490169,-0.05891526,-0.05262683,-0.1098636,-0.0133631,-0.02209274,-0.02804432,-0.05628047
1,321201,V1,Left,69,42,48,-0.007172079,0.1716168,-0.01710972,0.3162113,7.327521,-0.8685112,4.762238,2.178944,-0.01515393,-0.05347814,0.04211731,-0.04387475,-0.09319561,-0.07799518,-0.03456222,-0.08521019,-0.03809368,0.01394103,-0.03255048,-0.05531295
1,321202,V1,Left,69,42,49,-0.06902601,0.06635109,0.003028337,0.30438,7.917648,3.293723,4.772845,4.508587,-0.04143033,-0.1225528,0.02482955,-0.1028379,-0.1382229,-0.1699121,-0.04631476,-0.1249912,-0.1334991,-0.05024218,-0.1227135,-0.121328
1,321203,V1,Left,69,43,46,-0.1500558,-0.02071819,-0.08680032,0.1819531,6.308478,5.615407,3.560664,6.333583,-0.05848681,-0.256921,-0.09127062,-0.1438032,-0.2342105,-0.2962069,-0.1286132,-0.2892112,-0.2320153,-0.07187255,-0.2131518,-0.2237518
1,321204,V1,Left,69,43,47,-0.1593122,-0.1641831,-0.2443903,0.05578011,2.87599,3.080904,3.16406,6.387156,-0.1234905,-0.3115602,-0.1191288,-0.1661618,-0.2528475,-0.3586666,-0.1866206,-0.3059938,-0.2238436,-0.02200139,-0.2402323,-0.2302173
1,321205,V1,Left,69,43,48,-0.2018171,-0.4117409,-0.3326975,-0.1096262,3.96502,4.254639,3.514456,4.976315,-0.208365,-0.2421458,-0.1691475,-0.2573556,-0.188087,-0.3582003,-0.2625321,-0.2946416,-0.2291716,-0.07748801,-0.294612,-0.1813927
1,321288,V1,Left,69,43,49,-0.1599231,-0.2813462,-0.2652831,-0.05930512,1.762217,3.240228,2.911458,4.40108,-0.2093957,-0.2168567,-0.09874497,-0.1801543,-0.2715476,-0.3850728,-0.2621152,-0.3456681,-0.268159,-0.04442316,-0.1862643,-0.3634932
1,321289,V1,Left,69,44,46,-0.1863821,-0.3290686,-0.3240874,0.04095921,-0.5042911,2.563542,2.439811,4.148574,-0.2505279,-0.1362606,-0.1447714,-0.1854701,-0.2155683,-0.3657741,-0.3014665,-0.3515701,-0.2834345,-0.1930643,-0.2514209,-0.1807608
1,327924,V1,Left,69,44,47,-0.2273919,0.1804273,-0.1431325,0.1606764,5.484247,11.45397,3.879476,8.066545,-0.1152995,-0.3115827,-0.216642,-0.2170356,-0.3000065,-0.404209,-0.3016929,-0.278373,-0.2267294,-0.19381,-0.295954,-0.2167221
1,327925,V1,Left,69,44,48,-0.4731969,0.2423538,-0.3489898,0.302649,11.01462,14.22891,5.015687,6.590525,-0.241033,-0.4124575,-0.3239416,-0.4429782,-0.5572256,-0.6297058,-0.4712701,-0.4956275,-0.4310118,-0.2982092,-0.4722181,-0.3625332
1,327926,V1,Left,69,45,47,-0.3731618,-0.02619934,-0.2968806,0.126207,6.470805,15.53679,4.317371,6.07519,-0.2606589,-0.3759701,-0.3218749,-0.4018786,-0.4518,-0.5504773,-0.4252993,-0.4865511,-0.3731659,-0.2876725,-0.4585423,-0.3025446
1,328006,V1,Left,70,41,47,-0.05104797,-0.05509271,-0.07963696,-0.0117974,-0.1323462,-2.306771,2.167574,2.441974,0.008521095,0.008349997,0.009803819,-0.006723199,-0.0377447,-0.07714516,0.04460574,-0.01862048,0.0700951,-0.01531573,0.01039139,-0.01998705
1,328007,V1,Left,70,41,48,-0.106026,0.2869446,-0.141583,0.3256763,12.29778,0.5127192,4.075206,3.27412,-1.133822e-05,-0.11779,-0.02469334,-0.09582689,-0.053772,-0.1928509,-0.04026049,-0.09709202,0.009463836,-0.06421728,-0.1617581,-0.03730129
1,328008,V1,Left,70,41,49,-0.4283151,0.6304407,-0.3731157,0.7308809,21.64955,8.994925,4.62512,5.807023,-0.1586631,-0.4360421,-0.2779039,-0.357899,-0.3310757,-0.5597984,-0.3205256,-0.3739017,-0.2750243,-0.2838822,-0.5088077,-0.3289531
1,328009,V1,Left,70,42,47,-0.6076729,0.4237058,-0.5224223,0.6778121,19.50484,16.87109,5.177024,7.071948,-0.331421,-0.6770267,-0.5034738,-0.5852799,-0.5801961,-0.8523377,-0.531179,-0.6867234,-0.5183578,-0.4210551,-0.7853971,-0.6042943
1,328010,V1,Left,70,42,48,-0.3689183,-0.002522376,-0.3193958,0.176482,8.547646,17.53693,4.219775,7.06456,-0.3068301,-0.5520014,-0.4216655,-0.4393522,-0.3904319,-0.6584383,-0.3783469,-0.5562091,-0.3653018,-0.3539024,-0.6023516,-0.4189191
