subject,voxelIndex,region,hemisphere,X,Y,Z,resp_wordL,resp_wordR,resp_scramL,resp_scramR,resp_focalCueLeft,resp_focalCueRight,resp_distributedCue,xvalRSqr_locz,xvalRSqr_main,snrAfter_locz,snrAfter_main
1,320869,V1,Left,68,43,47,-0.3010047,0.06465797,-0.269863,0.1262209,-0.6598364,-0.5810412,-0.4741393,5.679059,13.96599,3.940568,9.970016
1,320870,V1,Left,68,43,48,-0.4738448,-0.04774157,-0.4709298,0.1870657,-1.059924,-0.8463569,-0.8063149,5.339426,15.03424,3.050159,10.46441
1,320953,V1,Left,68,44,46,-0.3006027,0.03404816,-0.2416785,0.1989036,-0.7620019,-0.6491298,-0.5374005,7.967913,16.44687,4.719779,11.34332
1,320954,V1,Left,68,44,47,-0.4565759,-0.2357618,-0.4076396,-0.01614593,-1.026522,-0.7695764,-0.8644783,4.544097,17.71886,4.397834,12.16401
1,321117,V1,Left,68,44,48,-0.05852805,0.2539186,-0.05713068,0.2144364,-0.2073022,-0.1175619,-0.09300487,7.79804,0.6007612,2.664103,4.185104
1,321118,V1,Left,68,45,47,-0.08811877,0.1625857,-0.05607237,0.2379175,-0.2443231,-0.1796071,-0.1587935,5.672449,1.977098,3.081916,4.491441
1,321119,V1,Left,68,45,48,-0.1055244,-0.03996351,-0.0473699,0.1072658,-0.442028,-0.3710097,-0.2583534,1.579744,6.750065,1.519079,8.95708
1,321120,V1,Left,69,41,48,-0.1132602,-0.2655453,-0.1266389,-0.09275795,-0.6534718,-0.4427157,-0.4178215,2.332902,8.83779,4.035176,9.379474
1,321200,V1,Left,69,42,47,0.006825426,0.02934939,-0.0273905,0.05587938,-0.1514422,-0.1183479,-0.08644005,-0.8278966,0.2549946,1.135092,3.482486
1,321201,V1,Left,69,42,48,-0.007172079,0.1716168,-0.01710972,0.3162113,-0.1470969,-0.07602987,-0.07072292,7.327521,0.344646,4.762238,3.403911
1,321202,V1,Left,69,42,49,-0.06902601,0.06635109,0.003028337,0.30438,-0.2727216,-0.2763543,-0.1775116,7.917648,4.248929,4.772845,5.311298
1,321203,V1,Left,69,43,46,-0.1500558,-0.02071819,-0.08680032,0.1819531,-0.5336072,-0.4819792,-0.3753271,6.308478,7.46485,3.560664,8.721525
1,321204,V1,Left,69,43,47,-0.1593122,-0.1641831,-0.2443903,0.05578011,-0.6017405,-0.4163562,-0.4469248,2.87599,5.220956,3.16406,7.855505
1,321205,V1,Left,69,43,48,-0.2018171,-0.4117409,-0.3326975,-0.1096262,-0.5598102,-0.4246588,-0.4863791,3.96502,6.39556,3.514456,8.024011
1,321288,V1,Left,69,43,49,-0.1599231,-0.2813462,-0.2652831,-0.05930512,-0.8303177,-0.6707358,-0.5573907,1.762217,6.167394,2.911458,6.672201
1,321289,V1,Left,69,44,46,-0.1863821,-0.3290686,-0.3240874,0.04095921,-0.7042958,-0.5600905,-0.4289707,-0.5042911,4.808176,2.439811,5.132535
1,327924,V1,Left,69,44,47,-0.2273919,0.1804273,-0.1431325,0.1606764,-0.6590453,-0.5487987,-0.4936543,5.484247,14.21711,3.879476,11.20151
1,327925,V1,Left,69,44,48,-0.4731969,0.2423538,-0.3489898,0.302649,-1.059511,-0.8934799,-0.776897,11.01462,17.57669,5.015687,10.53423
1,327926,V1,Left,69,45,47,-0.3731618,-0.02619934,-0.2968806,0.126207,-0.9135445,-0.7885107,-0.7005429,6.470805,19.73376,4.317371,10.70367
1,328006,V1,Left,70,41,47,-0.05104797,-0.05509271,-0.07963696,-0.0117974,-0.06894327,-0.03457182,-0.06518811,-0.1323462,-0.7771373,2.167574,1.084658
1,328007,V1,Left,70,41,48,-0.106026,0.2869446,-0.141583,0.3256763,-0.2304096,-0.1350155,-0.174931,12.29778,1.898324,4.075206,5.943147
1,328008,V1,Left,70,41,49,-0.4283151,0.6304407,-0.3731157,0.7308809,-0.8998047,-0.750285,-0.7599456,21.64955,11.95066,4.62512,8.059799
1,328009,V1,Left,70,42,47,-0.6076729,0.4237058,-0.5224223,0.6778121,-1.426261,-1.244152,-1.189137,19.50484,21.45091,5.177024,13.67942
1,328010,V1,Left,70,42,48,-0.3689183,-0.002522376,-0.3193958,0.176482,-1.03169,-0.8960899,-0.9136289,8.547646,23.38268,4.219775,14.73976
1,328089,V1,Left,70,42,49,-0.03120545,0.3421679,0.02744718,0.2649571,-0.126454,-0.08733734,-0.07465793,7.539606,-0.3383398,3.011322,2.181025
1,328090,V1,Left,70,43,46,-0.1439538,0.6804643,-0.08755992,0.6868304,-0.2027751,-0.08269612,-0.08572339,33.70037,0.3546774,6.933218,2.679189
1,328091,V1,Left,70,43,47,-0.2142283,0.5678092,-0.196018,0.5982412,-0.4192139,-0.3256344,-0.2878104,25.75183,4.160202,4.830719,5.57295
1,328092,V1,Left,70,43,48,-0.2506125,0.1532793,-0.2256718,0.2252643,-0.7144696,-0.628759,-0.6008832,7.612139,14.70245,2.590964,9.089781
1,328093,V1,Left,70,43,49,-0.199642,-0.1275464,-0.2124586,-0.01261753,-0.7073205,-0.652566,-0.5688524,1.0737,19.86569,2.883678,11.30575
1,328172,V1,Left,70,44,46,-0.05648001,0.2653094,-0.06012235,0.2067368,-0.09117367,-0.06976975,-0.03305724,7.905597,-0.2338529,2.122669,4.662258
