DistributedCue_Left,DistributedCue_Right,FocalCue_Left,FocalCue_Right
0.552083333333333,0.855855855855856,0.628571428571429,0.942857142857143
0.609090909090909,0.89,0.799043062200957,0.914285714285714
0.54639175257732,0.771428571428571,0.736842105263158,0.90952380952381
0.533980582524272,0.886792452830189,0.814285714285714,0.895238095238095
0.607476635514019,0.744897959183674,0.747619047619048,0.861904761904762
0.477777777777778,0.831932773109244,0.752380952380952,0.938095238095238
0.471698113207547,0.730769230769231,0.766666666666667,0.861904761904762
0.531914893617021,0.681818181818182,0.676190476190476,0.894736842105263
0.5625,0.776470588235294,0.77511961722488,0.866028708133971
0.537735849056604,0.846938775510204,0.70935960591133,0.9375
0.523809523809524,0.805825242718447,0.703349282296651,0.880952380952381
0.553398058252427,0.79047619047619,0.728571428571429,0.876190476190476
0.642857142857143,0.721649484536082,0.831730769230769,0.842857142857143
0.531531531531532,0.929292929292929,0.70952380952381,0.928571428571429
0.669902912621359,0.831775700934579,0.785714285714286,0.871428571428571
